name,docket,claim
Lau v. Nichols,72-6520,Schools that get federal funding must offer English language support to non-English speaking students.
Lau v. Nichols,72-6520,Schools cannot deny students equal education by failing to provide English language assistance to those who don't speak English.
Arnett v. Kennedy,72-1118,"A federal employee who has finished their probation period can be fired without a trial beforehand, but must be given a chance to respond to the charges first."
Arnett v. Kennedy,72-1118,"Federal rules about speech that could lead to job loss must be clear enough for workers to understand what is prohibited, but they don't need to list every possible situation."
"Old Dominion Branch No. 496, National Association of Letter Carriers, AFL-CIO v. Austin",72-1180,Speech about labor disputes is protected by the First Amendment and cannot be punished under state defamation laws.
"Old Dominion Branch No. 496, National Association of Letter Carriers, AFL-CIO v. Austin",72-1180,State laws cannot be used to sue someone for defamation if the speech relates to a labor dispute.
"Old Dominion Branch No. 496, National Association of Letter Carriers, AFL-CIO v. Austin",72-1180,"In labor disputes, statements are protected even if they are considered false by some."
DeFunis v. Odegaard,73-235,Courts do not rule on cases where there is no longer a disagreement between the parties.
DeFunis v. Odegaard,73-235,"If the situation that led to the lawsuit has changed so that the court's decision would not affect anyone, courts will not hear the case."
DeFunis v. Odegaard,73-235,"When the issue in question no longer exists or affects the people involved, courts will not review it."
Lascaris v. Shirley,73-1016,States cannot require welfare recipients to do something that federal law doesn't require as a condition for getting benefits.
Lascaris v. Shirley,73-1016,"If a state's welfare rules conflict with federal rules, the federal rules take priority."
Lascaris v. Shirley,73-1016,"If federal law is changed to include a state's rule, the conflict between them is resolved."
Cox Broadcasting Corporation v. Cohn,73-938,The government cannot stop the media from publishing information that is already part of public records.
Cox Broadcasting Corporation v. Cohn,73-938,The First Amendment allows the media to report on public records so citizens can understand government actions.
Cox Broadcasting Corporation v. Cohn,73-938,Laws that restrict the media from reporting public records may cause journalists to avoid covering important issues.
Cox Broadcasting Corporation v. Cohn,73-938,"When information is publicly available, privacy laws cannot be used to block media coverage of it."
Colonial Pipeline Company v. Traigle,73-1595,"States can tax companies for the right to do business within the state, even if all their business is across state lines."
Colonial Pipeline Company v. Traigle,73-1595,"If a company has employees or offices in a state, that state can tax its business activities there, even if those activities involve moving goods between states."
Colonial Pipeline Company v. Traigle,73-1595,State taxes on businesses must treat all companies equally and not single out those that work across state lines.
Colonial Pipeline Company v. Traigle,73-1595,"Companies that register to do business in a state must pay taxes for that privilege, even if all their business is interstate."
Bigelow v. Virginia,73-1309,Advertisements with truthful information about legal services are protected by the First Amendment.
Bigelow v. Virginia,73-1309,"Speech sharing healthcare information that serves the public interest is protected, even if it is part of a commercial advertisement."
